Afore	Trước
hazle	rắc rối
Heady	Xông lên
heads	người đứng đầu
heald	chữa lành
heals	chữa lành
heapy	chất đống
Heaps	Đống
heard	đã nghe
Hearn	Nghe
hears	nghe thấy
heart	trái tim
Heath	cây thạch thảo
heats	làm nóng
heave	phập phồng
heavy	nặng
heazy	cuồng nhiệt
hecks	quái vật
hecte	héc-ta
hedge	hàng rào
Hedie	Anh ta chết rồi
heedy	cây cỏ
heeds	cỏ dại
heels	gót giày
hefty	nặng nề
hefts	thang máy
heigh	cao
heygh	này
heild	xây dựng
heils	gai
heirs	người thừa kế
heist	trộm cắp
helas	mũ bảo hiểm
helix	vòng xoắn
helly	cầm lái
hello	xin chào
hells	địa ngục
Helot	Trực thăng
helps	giúp đỡ
hemal	huyết dụ
Heman	Anh ta là đàn ông
Hemet	Ông đã gặp
Hemon	Ma quỷ
hempy	gai dầu
hemps	cây gai
hence	kể từ đây
Henke	Rượu Henke
henna	cây lá móng
herbs	các loại thảo mộc
herds	bầy đàn
herem	đây
Herod	Hêrôđê
Heron	Diệc
heuch	thái giám
heved	chăm chú
hexad	thập lục
hexed	có dấu vết
hiant	gợi ý
hicky	nặng nề
hided	giấu giếm
hider	người đi lang thang
hides	ẩn náu
hydro	thủy điện
hield	che giấu
hyena	Linh cẩu
Higgs	Hạt Higgs
highs	mức cao
hight	Cao
hying	che giấu
hiked	đi bộ đường dài
hiker	người đi bộ đường dài
hikes	đi bộ đường dài
Hylas	Bản đồ
Hilly	Đồi núi
Hills	Những ngọn đồi
hilts	tạm dừng
Hymen	Thần hôn nhân
Hymir	Thánh ca
himne	hene
hymns	thánh ca
Hindi	Tiếng Hindi
hinds	dấu hiệu
Hindu	Người theo đạo Hindu
hinge	khớp nối
hints	gợi ý
hyped	cường điệu
hyper	siêu
hypes	cường điệu
hypha	sợi nấm
Hippo	Con hà mã
hired	thuê
hirer	người thuê
HIRES	GƯƠNG
hirse	tiếng rít
hissy	rít
hists	tổ ong
hitch	xô
hived	tổ ong
hives	tổ ong
Hoang	Hoàng
hoard	tích trữ
hoars	khản giọng
hoast	nâng cao
hobby	sở thích
hocco	khúc côn cầu
hocks	cái móc
hoddy	ham chơi
Hodge	Né tránh
hoers	cuốc đất
hoggy	heo con
Hogle	Lỗ
hoist	vận thăng
hoked	cuốc đất
Holds	Giữ
holed	tích lũy
holes	hố
holia	hoa mộc lan
holts	hậu bị
homed	cuốc đất
homey	ấm cúng
homes	những ngôi nhà
honed	mài giũa
Honey	Mật ong
honer	mài giũa
hones	mài giũa
honks	khò khò
Honor	Tôn kính
hoods	mũ trùm đầu
hoofs	móng guốc
hooky	móc ngoặc
Hooks	Móc
hoose	chó săn
hoosh	tiếng kêu
hoots	móng guốc
hoove	cuốc đất
hoped	hy vọng
Hopei	Hy vọng tôi
hopes	hy vọng
Hopin	Nhảy vào
horde	đám đông
horny	có sừng
horns	sừng
horry	kinh khủng
horse	ngựa
horsy	có ngựa
Hosea	Ôsê
hosed	cuốc đất
hoses	ống mềm
hosts	máy chủ
hotel	khách sạn
hotly	nóng bỏng
Hound	Chó săn
Hours	Giờ
House	căn nhà
houss	huyên náo
hovel	cuốc đất
hover	bay lượn
howdy	hú
howel	tiếng hú
howff	hú
howks	tiếng hú
howls	tiếng hú
Huang	Hoàng
hubby	mũm mĩm
huffs	hụ hụ
Huger	Lớn hơn
hulky	khàn khàn
hulks	đống
hulls	vỏ tàu
human	Nhân loại
humid	ẩm ướt
humor	hài hước
Humph	Hừ hừ
humpy	có bướu
humps	bướu
humus	mùn
Hunan	Hồ nam
hunch	linh cảm
Hunts	Đi săn
hurds	rào cản
Hurff	Vội vàng
hurly	nhanh chóng
hurls	ném đá
hurry	vội
Hurty	Nhanh
hurts	đau
husks	trấu
hussy	tinh ranh
hutch	cái hutch
hutre	chòi nghỉ
huzzy	hoan hô
Iache	Tôi đau
yacht	thuyền buồm
iambi	Tôi bi
yangs	Yangs
Yards	Bãi
yarns	sợi
iasis	ốc đảo
iatry	giận dữ
yawed	ngáp
yawls	ngáp
yawny	ngáp
yawns	ngáp
yawps	ngáp
icers	tảng băng
icily	xấu tính
icing	Đóng băng
Icken	Dày
ickle	ốm yếu
icons	biểu tượng
ictus	cây xương rồng
idant	làm biếng
Idden	Làm biếng
ideal	lý tưởng
ideas	ý tưởng
ident	danh tính
idest	ngu ngốc
idyll	cảnh đồng quê
idiom	cách diễn đạt
idiot	kẻ ngốc
Idism	Chủ nghĩa đồng nhất
Idist	Danh tính
idite	ngu ngốc
idled	không hoạt động
idler	người làm biếng
idles	làm biếng
idols	thần tượng
yeard	người yêu
yearn	khao khát
years	năm
yeast	men
yeech	yboards
yells	la lên
yelps	kêu la
yeply	vâng
yeses	vâng vâng
yesty	bệ hạ
yetts	chưa
yeven	men rượu
ighly	mạnh mẽ
igloo	nhà tuyết
yield	năng suất
yikes	yểu điệu
ileal	hồi tràng
ileum	hồi tràng
ileus	hồi tràng
ility	nhu nhược
Ilium	Xương hông
iller	ốm yếu
illth	bệnh hoạn
illus	ảo tưởng
Ilone	Tôi chỉ đơn thuần
image	hình ảnh
imago	tưởng tượng
imbed	im lặng
imbue	thấm nhuần
imide	im lặng
Imitt	Chuyển tiền
Imler	Im hơn
immew	bao la
immis	Immis
immit	bắt chước
immun	non nớt
impar	vô hiệu
imped	trở ngại
impel	xô
imper	không hoàn hảo
imply	bao hàm, ngụ ý
impot	bất lực
imput	sự thúc giục
inact	không hoạt động
inapt	không thích
inarm	ôm
inbye	tạm biệt
inbow	đầu vào
Incan	Inca
incle	nghiêng
incor	liêm khiết
incur	gánh chịu
incut	răng khôn
index	mục lục
India	Ấn Độ
indii	indi
indow	vào trong
indue	tới hạn
inept	say xỉn
inerm	trơ trọi
inert	trơ ra
infer	suy luận
infos	thông tin
infra	cơ sở hạ tầng
ingot	thỏi
inked	có mực
inker	máy in
inkie	mực
inkle	mực
inkos	mực
inlaw	trong vòng pháp luật
inlet	đầu vào
inned	săn chắc
Inner	Bên trong
innet	trong lưới
inone	trong một
input	đầu vào
inrub	cây bụi
inrun	đang chạy
insea	bên trong
insee	bảo lãnh
insep	thấm sâu
inset	lót trong
insol	vỡ nợ
instr	hướng dẫn
insue	lời nói dối
intel	thông tin
inter	chôn cất
intra	trong
intro	phần giới thiệu
Inuit	Người Inuit
inure	có trong tay
inust	tràn ngập
iodal	iotal
iodic	iốt
iodid	iốt
yodle	ngu ngốc
yogis	thiền sinh
yoked	say sưa
yokes	trò đùa
yolks	lòng đỏ
youff	đồ ngu
Young	Trẻ tuổi
youre	mày là
yours	của bạn
youth	thiếu niên
youve	bạn
youze	ngủ quên
Ioved	Đã xóa
Iraan	Người Iran
Iraqi	người Iraq
irate	giận dữ
irbis	báo tuyết
Irish	Người Ailen
irked	khó chịu
irony	trớ trêu
Irons	Bàn là
irous	có lửa
irred	bực bội
irreg	bất thường
Isawa	Tôi đã thấy một
Ising	Tôi hát
Islam	đạo Hồi
isled	được dẫn dắt
isles	cù lao
islet	cù lao
Islip	Tôi trượt
Ismay	Là có thể
Isman	Là người đàn ông
isoln	cô lập
issue	phát hành
isthm	eo đất
istic	gác mái
istle	hòn đảo
Italy	Nước Ý
itchy	ngứa
itcze	ngứa
itemy	lặp đi lặp lại
items	mặt hàng
ither	ngứa
ition	ý niệm
itous	có mùi
yummy	ngon
ivied	bị đuổi đi
Ivory	Ngà voi
izing	làm lạnh
jacht	du thuyền
jacks	giắc cắm
jaded	giựt giựt
jagat	răng cưa
jaggy	lởm chởm
jaggs	răng cưa
jails	nhà tù
jakes	trò đùa
jambo	tiếng ồn ào
jambs	tiếng ồn ào
jammy	kẹt cứng
janty	vui vẻ
Japan	Nhật Bản
japed	nhật bản
japes	nhật bản
jarls	biệt ngữ
jarvy	cây kim châm
jasey	vui vẻ
jaunt	đi chơi
javas	phim jav
javel	cái lao
jawab	cái hàm
jawed	có hàm
jazey	kinh ngạc
jazzy	vui vẻ
Jeans	Quần jean
Jebus	Xe Jebus
Jeeps	Xe Jeep
jeery	giễu cợt
jeers	giễu cợt
Jelks	Thạch
jelly	thạch
Jenny	cú chọc
jerky	thịt khô
jerks	giật
jests	áo gi lê
JESUS	CHÚA GIÊ-XU
jeton	máy bay phản lực
jetty	cầu cảng
Jewel	Ngọc
Jewry	Đồ trang sức
jiffy	thoáng qua
jiggy	khó chịu
jihad	thánh chiến
Jinan	Tế Nam
Jocko	Con tinh tinh
Johny	ạ
joyed	vui mừng
joins	tham gia
joint	chung
joist	chen lấn
joked	nói đùa
jokey	vui đùa
joker	người pha trò
jokes	chuyện cười
jolly	vui vẻ
jolty	vui vẻ
jolts	xóc nảy
Jorry	Xin lỗi
Joses	Hoa hồng
jotty	vui vẻ
journ	tạp chí
joust	vui đùa
jowed	giễu cợt
jowly	giễu cợt
Juana	Kỳ nhông
juans	tháng sáu
jubas	tưng bừng
jubbe	tưng bừng
jubes	vui mừng
jubus	thần thánh
Judah	Giu-đa
Judas	Giu-đa
Judge	Trọng tài
juger	người uống rượu
juice	Nước ép
juicy	ngon ngọt
juked	tung hứng
jumpy	nhảy cẫng lên
jumps	nhảy
jurel	cây nguyệt quế
juris	khu vực pháp lý
juror	bồi thẩm đoàn
justs	chỉ
jutes	đay
kayak	chèo xuồng
kayos	thuyền kayos
Kaleb	Cải xoăn
Kanji	Chữ Kanji
Karma	Nghiệp
keeps	giữ lại
keest	quan tâm nhất
keyed	có chìa khóa
keyer	người đánh chìa khóa
kempt	gấp gáp
kendo	kiếm đạo
keout	quan tâm
kerbs	lề đường
ketch	nước sốt cà chua
khaki	kaki
Khmer	Khơ me
kicky	mạnh bạo
kicks	những cú đá
kiddy	đứa trẻ
kiddo	đứa trẻ
kills	giết người
kilns	lò nung
kilos	kilôgram
kilts	kg
kinds	các loại
Kings	Các vị vua
kinky	lập dị
kinks	gấp khúc
kiosk	ki-ốt
kissy	có hôn
kites	diều
Kitty	Mèo con
kiwis	Trái kiwi
klutz	hậu đậu
knack	sở trường
knead	nhào
kneed	quỳ xuống
kneel	quỳ xuống
knees	đầu gối
knell	tiếng chuông
knelt	quỳ xuống
knezi	quỳ gối
kniaz	đan len
knife	dao
knits	đồ đan
knive	đan
knobs	nút bấm
knock	cú đánh
knoit	thắt nút
Knoll	Chuông kêu
knops	hải lý
knosp	nút thắt
knots	thắt nút
knout	thắt nút
knowe	biết
known	đã biết
knows	biết
koala	gấu túi
koans	công án
Korah	Kinh Korah
Koran	Kinh Koran
Korea	Hàn Quốc
korec	hàn quốc
Korry	K lỗi
Krein	Kerin
krill	nhuyễn thể
kudos	thanh danh
kudzu	sắn dây
Laban	la ban
label	nhãn mác
labia	môi âm hộ
labor	nhân công
laced	tẩm
lacer	người mài giũa
laces	dây buộc
lacet	rent
lache	đau nhói
lacks	thiếu
laded	đầy ắp
lader	người múc canh
lades	các chàng trai
ladle	lò nồi
Lager	Bằng lăng
lagly	trễ nải
layed	đẻ
layer	lớp
lairy	trại giam
lairs	hang ổ
laity	giáo dân
lakey	hồ nước
laker	người laker
lakes	hồ nước
lakhs	hàng vạn
Lamas	Lạt ma
lambs	cừu non
lames	lửa
lampf	lightf
lamps	đèn
LANCE	CÂY THƯƠNG
lande	hạ cánh
lands	vùng đất
lanes	làn đường
lanky	cao lêu nghêu
Lapaz	La Paz
lapel	ve áo
lapse	trôi đi
larch	cây tùng la hán
lardy	mỡ lợn
lards	mỡ lợn
large	lớn
largy	ấu trùng
larid	khô cằn
larks	chim sơn ca
larum	ấu trùng
larva	ấu trùng
larve	lớn lên
lases	mỡ
lasso	dây cột ngựa
lasty	cuối cùng
lasts	kéo dài
latch	chốt cửa
lated	ăn thịt
later	một lát sau
latex	mủ cao su
Lathe	Máy tiện
lathy	dâm đãng
latke	pha cà phê
latry	máy pha cà phê
laude	công tử
laugh	cười
laund	giặt giũ
lawed	đúng luật
Lawes	Luật
lawks	luật
lawny	bãi cỏ
lawns	bãi cỏ
Lawry	Ngành luật
lawzy	luật lệ
laxer	người lỏng lẻo
laxly	lỏng lẻo
lazed	chết mê chết mệt
lazys	lười biếng
leady	có nhiều chì
leads	dẫn đầu
leafy	lá
leafs	lá
leaky	rò rỉ
leaks	rò rỉ
leans	nghiêng người
leant	nghiêng ngả
leaps	nhảy vọt
leapt	nhảy qua
Leary	Người học
learn	học hỏi
lears	bánh răng
lease	cho thuê
leash	dây buộc
least	ít nhất
leath	nước rửa trôi
leave	rời bỏ
Leavy	Lá
leche	dâm đãng
ledge	mỏm đá
ledgy	mỏm đá
leech	con đỉa
leeky	tỏi tây
leeks	tỏi tây
leery	tinh ranh
leers	người cho vay
Lefty	Tả khuynh
lefts	đòn bẩy
legal	hợp pháp
leges	chân
leggy	chân dài
Legis	Luật pháp
legit	hợp pháp
Lello	Xin chào
lemma	bổ đề
Lemon	Chanh vàng
lemur	vong linh
lends	cho vay
Lenin	Lê-nin
lenth	thứ mười
lento	đậu lăng
leper	người cùi
lepid	cùi
lesed	bớt đi
lesiy	đồng tính nữ
letup	sự buông tha
level	mức độ
Lever	Đòn bẩy
lexic	từ vựng
lezes	le le
lezzy	lờ mờ
Liard	Nói dối
lyard	trữ vật
liars	kẻ nói dối
libel	phỉ báng
Libra	Thiên Bình
licet	chấy rận
licks	liếm
lidos	lido
lyery	trữ tình
liers	nói dối
liesh	dối trá
lieue	nói dối
lieus	dối trá
lifey	sống động
lifen	sự sống
lifts	thang máy
Light	Ánh sáng
lying	nằm
liked	đã thích
liken	ví von
liker	người nói dối
likes	thích
Lilac	Tử đinh hương
liles	nói dối
lilts	chó chết
limbi	lấp lửng
limby	tay chân
limbo	lấp lửng
limbs	chân tay
limed	vôi
limey	có màu vôi
limer	người nói dối
limes	chanh
limit	giới hạn
lymph	bạch huyết
limpy	khập khiễng
limps	khập khiễng
limsy	nhỏ xíu
linac	rượu linac
lined	lót
liney	cây nho
linen	lanh
liner	lót
lines	dòng
Linet	Vải lanh
lingy	lêu lổng
lingo	biệt ngữ
linky	liên kết
links	liên kết
Lions	Sư tử
lipid	chất béo
lyric	lời bài hát
lysis	ly giải
lisps	nói ngọng
listy	ủ rũ
lists	danh sách
liter	lít
lites	thắp sáng
lithe	vải thưa
lithi	vải thiều
lytic	trữ tình
litre	lít
litus	giấy quỳ
lived	đã sống
liver	Gan
lives	cuộc sống
livid	chảy nước miếng
livor	sự thích thú
loach	chạch
loads	tải
loafs	ổ bánh mì
loamy	mù mịt
loams	lừa đảo
loans	cho vay
loath	không ưa
loave	ổ bánh mì
lobar	cây gỗ
lobby	sảnh
lobed	thùy
lobes	thùy
lobus	xe buýt
local	địa phương
LOCAP	ĐỊA ĐIỂM
lochs	hồ
locks	ổ khóa
locum	người thay thế
locus	quỹ tích
Lodge	lều
loess	hoàng thổ
lofty	cao
lofts	gác xép
Logan	quả nhãn
loger	nhà kho
loges	lò sưởi
logic	Hợp lý
login	đăng nhập
Logos	Biểu trưng
logue	dâm ô
loyal	Trung thành
loins	thăn lưng
Lonee	Cô đơn
loner	người cô đơn
longe	khao khát
looed	lỏng lẻo
loofs	lổn nhổn
looky	có vẻ ngoài
looks	nhìn
looms	khung dệt
loony	điên khùng
loope	dây buộc
loopy	vòng vo
loory	rau lang
loose	lỏng lẻo
loots	đồ ăn cắp vặt
loped	hình tròn
loper	người yêu
lordy	chúa tể
Lords	Lãnh chúa
lored	tín ngưỡng
lores	truyền thuyết
Lorry	Xe tải
loser	kẻ thua cuộc
loses	thua cuộc
lossy	mất mát
lotah	lô tô
lotas	lô tô
lotic	gác xép
lotor	người đánh lô tô
lotos	lô tô
lotto	lô tô
Lotus	Hoa sen
louch	lười biếng
loupe	chó săn
loups	tiếng kêu to
lourd	bầu bí
loury	lười biếng
lours	tiếng kêu
louse	con rận
lousy	tồi tệ
louty	trách nhiệm
louts	nhà nghỉ
loved	yêu
lovee	người yêu
lovey	yêu kiều
Lover	Người yêu
loves	yêu
lowed	hạ thấp
Lower	Thấp hơn
Lowes	Mức thấp
lowly	hèn mọn
lowth	tầm thấp
lubes	thuốc bôi trơn
lucid	minh mẫn
Lucky	May mắn
luddy	hồng hào
ludes	dâm đãng
ludic	lố bịch
Luffa	Mướp
luged	luẩn quẩn
lulls	ru ngủ
lumpy	vón cục
lumps	vón cục
lunar	âm lịch
lunch	Bữa trưa
lunge	đột kích
lungy	lung tung
lungs	phổi
lunts	runts
Lupid	Ngu ngốc
lurch	lảo đảo
lured	bị dụ
lurer	kẻ lừa đảo
lures	mồi nhử
lurid	buồn tẻ
lurky	lém lỉnh
lurks	ẩn nấp
luser	người dùng
lusts	ham muốn
luted	tắt tiếng
luter	bên ngoài
lutes	đàn luýt
luxes	xa xỉ
luxus	xa xỉ
Mable	Có thể
Macau	Ma Cao
macaw	vẹt đuôi dài
macho	bậc nam nhi
macro	vĩ mô
madam	thưa bà
Madea	Đã làm một
madly	điên cuồng
Mafia	Xã hội đen
Mages	Pháp sư
magic	ma thuật
magma	dung nham
magot	người đánh lừa
Mayan	Người Maya
maybe	có lẽ
Maidy	Người hầu gái
maids	người giúp việc
mails	thư điện tử
mains	nguồn điện lưới
maint	bảo trì
maynt	có thể không
Mayor	Thị trưởng
mairs	người đưa thư
Maize	Bắp
majas	chuyên ngành
Major	Chính
majos	Majos
Maker	Nhà sản xuất
makes	làm cho
Malay	Tiếng Mã Lai
males	nam
malls	trung tâm thương mại
malms	nam giới
malty	ác tính
malts	mạch nha
mamba	ba
mamma	mẹ
mammy	có vú
mancy	manly
maned	có maned
maneh	bờm
Manes	Bờm
manga	truyện
Mango	Quả xoài
mania	hưng cảm
manic	phấn khích
manid	người điên
manie	người điên
manky	lưu manh
Manly	Nam tính
manor	trang viên
Maori	Tiếng Maori
Mapes	Bản đồ
maple	cây phong
MAPSS	BẢN ĐỒ
MArch	Bước đều
mares	ngựa cái
marid	khô cằn
Marks	Điểm
marry	kết hôn
marse	con ngựa
Marsh	Đầm lầy
marts	xe đẩy
MASER	MẶT NẠ
masks	mặt nạ
Mason	Thợ nề
massy	đông đúc
masts	cột buồm
match	trùng khớp
mated	giao phối
matey	vật chất
mater	trường cũ
mates	bạn tình
maths	toán học
matte	mờ
matzo	bánh mì không men
Maxim	Châm ngôn
mazed	mê muội
mazes	mê cung
meach	uốn khúc
mealy	nhiều bột
meals	bữa ăn
MEANS	CÓ NGHĨA
meant	có nghĩa là
meaty	nhiều thịt
meats	các loại thịt
meaul	ma cà rồng
Mecca	Thánh địa
medal	huy chương
Media	Phương tiện truyền thông
medle	xen kẽ
Meece	Nhu mì
Meeks	Gặp gỡ
meets	gặp gỡ
melds	hợp chất
melee	cận chiến
Meles	Tan chảy
melic	giai điệu
mells	những người bạn
melon	dưa gang
melts	tan ra
Memel	Màng
memos	ghi nhớ
mends	sửa chữa
menow	tôi lúc này
menus	thực đơn
meows	meo
merch	hàng hóa
Mercy	Nhân từ
merel	chỉ
merer	chỉ
meres	chỉ
merge	hợp nhất
mergh	vui vẻ
merit	n: Xứng đáng
merls	vui vẻ
Merry	vui
meshy	mê hồn
mesic	mê hoặc
messy	lộn xộn
metal	kim loại
meted	đã gặp
meter	Mét
metho	thuốc mê
meths	thần thoại
metic	làm tỉ mỉ
metre	Mét
metro	tàu điện
metze	mê man
mewed	kêu meo meo
mezzo	Meo
Micro	Vi mô
middy	giữa chừng
midgy	trung bình
midst	ở giữa
miffs	sương mù
might	có thể
miked	có mùi
milch	gia súc cho sữa
Miles	Dặm
milia	mụn thịt
milit	dân quân
milky	màu trắng đục
Milks	Vắt sữa
milpa	nương rẫy
mimed	nghiền ngẫm
mimer	cối xay
mimic	bắt chước
minds	tâm trí
mined	khai thác
Miner	Thợ mỏ
Mines	Mỏ
minge	hòa nhập
mingy	trộn lẫn
minim	tối thiểu
minks	chồn
Minor	Người vị thành niên
minty	bạc hà
mints	bạc hà
minus	dấu trừ
Mirac	Kỳ diệu
mired	sa lầy
mires	bãi lầy
mirky	không có gương
mirks	gương
mirly	gương
mirvs	gương
misce	khốn nạn
misdo	làm sai
miser	keo kiệt
mises	tiếng ồn ào
misgo	sai lầm
mysid	thần bí
Mysis	Chị gái của tôi
misky	lầm lì
misly	lầm lạc
Misty	Có sương mù
miter	lỗ đít
mites	con ve
myths	thần thoại
mitty	găng tay
mitts	găng tay
mixed	Trộn
mixen	trộn
mixer	máy trộn
mixes	hỗn hợp
mixup	trộn lẫn
mizzy	mờ ảo
mnage	sự tàn sát
moans	tiếng rên rỉ
moats	hào
mocks	chế giễu
modal	phương thức
model	người mẫu
moder	hiện đại
modes	các chế độ
moire	động cơ
Moism	Động lực
moist	ẩm ướt
moity	thần thái
molar	răng hàm mặt
moldy	bị mốc
molds	khuôn đúc
moles	nốt ruồi
molts	lột xác
momma	mẹ
momme	mẹ
Mommy	Mẹ ơi
monad	đơn nguyên
mondo	kiếm đạo
money	tiền bạc
monks	Các nhà sư
month	tháng
Monts	Khoảnh khắc
mooch	đi lang thang
Moody	buồn rầu
moods	tâm trạng
mooed	kêu la
mools	người ngu
moons	mặt trăng
moorn	sự chế nhạo
moors	đồng hoang
moose	con nai sừng tấm
moped	người đi xe máy
moper	người lau nhà
mopes	khăn lau
mopus	cây lau nhà
moral	có đạo đức
Morar	Tinh thần
Morea	Nhiều hơn
mores	nhiều hơn nữa
moric	tinh thần
moron	ngu ngốc
moror	kinh dị
Morry	Xin lỗi
mosks	người Hồi giáo
mossy	có rêu
mosso	rêu
moste	nhất
mosts	hầu hết
motey	vi trần
motel	nhà trọ
moths	bướm đêm
motif	mô típ
motor	động cơ
motto	châm ngôn
mould	khuôn
moult	thay lông
Mound	Gò đất
Mount	Gắn kết
mourn	thương tiếc
MOUSE	CON CHUỘT
mouth	mồm
moved	di chuyển
mover	người vận động
moves	di chuyển
movie	bộ phim
mowch	máy cắt cỏ
mowed	cắt cỏ
mower	máy cắt cỏ
mowse	cái giẻ lau
mowth	bướm đêm
Mozes	Chuyển động
MPers	Nghị sĩ
mucic	chất nhầy
mucky	may mắn
mucus	chất nhầy
mudar	bùn đất
mudde	bùn đất
muddy	bùn lầy
mudee	bùn
mudir	bùn đất
mudra	bùnra
muffs	bịt miệng
mufty	ngu ngốc
muggy	nóng ẩm
mulch	lớp phủ
muled	bỏ rơi
mules	con la
multi	đa
mummy	xác ướp
mumms	các bà mẹ
mumsy	mẹ già
mumus	mẹ
Muong	Mường
mural	tranh tường
mured	nấu chín
murga	Murga
murid	khô khan
murky	âm u
murks	giết người
murly	âm u
murph	âm u
murra	Murra
murrs	những kẻ giết người
murva	Murva
murza	Murza
musal	nhựa đường
mused	trầm ngâm
muser	trầm ngâm
muset	súng hỏa mai
mushy	ủy mị
music	Âm nhạc
musit	trầm ngâm
musky	xạ hương
musks	xạ hương
mussy	ủy mị
musth	trầm ngâm
musty	meo
musts	phải
mutch	người khốn nạn
muted	tắt tiếng
mutes	tắt tiếng
mutic	đột biến
muton	thịt cừu
mutts	những lời dị nghị
muzzy	khờ khạo
nacre	xà cừ
naggy	cằn nhằn
naght	ngủ nướng
nagor	nũng nịu
naily	nũng nịu
nails	móng tay
naive	ngây thơ
naked	khỏa thân
named	được đặt tên
namer	người đặt tên
Names	Tên
Nanny	Bảo mẫu
napal	bom napal
napes	gáy
Nappy	Tã lót
narco	ma tuý
narky	trầm tĩnh
narks	câu chuyện
nasal	mũi
nasat	mũi
nasch	mũi tên
nasty	bẩn thỉu
nates	thiên nhiên
nauch	nũng nịu
Naval	Hải quân
navel	lỗ rốn
navig	điều hướng
nawle	nũng nịu
Nazis	Đức quốc xã
nears	gần
neats	nịt
necks	cổ
necro	hoại tử
needy	túng thiếu
needn	thiếu thốn
needs	nhu cầu
Negro	Da đen
neigh	tiếng hí
Nepal	Nêpan
nerdy	mọt sách
nerds	mọt sách
nerts	áo sơ mi
nerve	thần kinh
nervy	lo lắng
nesty	kín đáo
nests	tổ
neuks	thần kinh
never	không bao giờ
newer	mới hơn
newly	mới
newsy	ít tin tức
newts	sa giông
nexus	mối quan hệ
ngaio	ngai vàng
nibby	nhỏ nhen
nicer	tốt hơn
niche	thích hợp
nided	có tuổi
nides	các cháu gái
niece	cháu gái
nific	hư cấu
nifty	tiện lợi
nighs	tối
night	đêm
nines	số chín
ninja	nhẫn giả
ninny	ngu ngốc
ninth	thứ chín
Ninus	Nhân viên hỗ trợ
ninut	hạt dẻ
nippy	lanh lợi
Noble	Cao quý
nobly	cao quý
nobut	không nhưng
nocks	lỗ đít
nodal	nốt sần
noddi	gật đầu
noddy	gật đầu
noded	được đánh giá
nodes	điểm giao
nodus	nốt sần
noels	noel
Nogas	Không có ga
nohes	mũi
nohow	dù thế nào đi nữa
noily	ồn ào
noise	tiếng ồn
noisy	ồn ào
Nolie	Không nói dối
nomad	người du mục
Nonie	Không Nie
nooky	ngông cuồng
nooks	ngóc ngách
noons	buổi trưa
noose	thòng lọng
norms	định mức
North	Bắc
nosed	mũi
nosey	tò mò
noses	mũi
notal	dấu ấn
notan	không phải là một
notch	khía
noted	lưu ý
noter	người ghi chép
notes	ghi chú
NOTIS	KHÔNG LÀ
Notts	Ký hiệu
Notus	Không phải chúng tôi
nould	không nên
nouns	danh từ
novae	no ấu trùng
novel	cuốn tiểu thuyết
Novum	Tháng mười một
noway	không đời nào
nowch	bây giờ
nowed	bây giờ
nowts	bây giờ
nubby	mũm mĩm
nuddy	bạn thân
nudes	khỏa thân
nudge	huých
nukes	vũ khí hạt nhân
numbs	tê liệt
numps	xà nu
numud	tê dại
nunce	ni cô
Nunci	Sứ thần
nunks	ni cô
nunni	ni cô
nunry	nữ tu sĩ
Nurse	Y tá
nursy	bảo mẫu
nutsy	dở hơi
nutty	bổ dưỡng
oakum	xơ gai
oases	ốc đảo
oasis	ốc đảo
oasts	mái chèo
oaten	yến mạch
oaths	lời thề
oaves	mái hiên
obeah	vâng
Obeid	Vâng lời
obeys	vâng lời
obese	Béo phì
obits	vâng lời
objet	phản đối
obmit	vâng lời
occas	thỉnh thoảng
occur	xảy ra
ocean	đại dương
ocher	đất son
ochre	đất son
octad	quãng tám
octal	bát phân
octet	bát phân
oddly	kỳ quặc
odist	người mùi mẫn
odium	chê bai
odors	mùi hôi
odour	mùi
oelet	bộ xương
ofays	của ngày
offal	nội tạng
offer	chào hàng
offic	chính thức
often	thường
ogams	yêu tinh
ogive	cầu hôn
ogler	yêu tinh
ogles	yêu tinh
ogres	yêu tinh
ohmic	có tính thuần trở
oiled	bôi dầu
oiler	người đổ dầu
okays	được rồi
olden	già đi
Older	Lớn hơn
oldie	người già
olepy	cây mềm
oleum	lưu toan
Olive	Ôliu
ollas	ô dù
ology	khoa học
Omani	Oman
omens	điềm báo
omits	bỏ sót
oncet	một lần
Onego	Một lần đi
Onemo	Một khoảnh khắc
onion	hành tây
onlap	trong lòng
onset	sự khởi đầu
oohed	rỉ ra
oozed	rỉ ra
oozes	rỉ ra
opens	mở ra
opine	thuốc phiện
oping	chọn
opium	thuốc phiện
opted	đã chọn
optic	quang học
orach	trái đất
orale	trái đất
orals	miệng
orary	hành trình
orate	ca tụng
orbed	giường ngủ
orbit	quỹ đạo
Orcas	Cá voi sát thủ
order	đơn hàng
ordos	đơn hàng
oread	sơn tinh
orgal	pháp luật
organ	đàn organ
Orgas	Cực khoái
orgue	hành giả
Orion	hành
orkey	ổ khóa
orles	quả cầu
orlet	hòn non bộ
Orpha	Mồ côi
orris	đăng ten
orrow	ném đá
orvet	vật nuôi dưỡng
osmic	thẩm thấu
Ossip	Chuyện phiếm
Ostic	Thẩm thấu
otary	con rái cá
otate	rái cá
Other	Khác
Otter	Rái cá
ought	phải
Ouija	cầu cơ
ousts	lật đổ
outby	ra ngoài bởi
outdo	làm giỏi hơn
outed	đi chơi
Outer	Bên ngoài
outgo	đi ra ngoài
outly	bề ngoài
